,index,qtype,story,perceivers,story_with_perceivers
500,506,first_order_1_no_tom,"['Lucas entered the pantry', 'Mia entered the pantry', 'Mia dislikes the undershirt', 'The pants is in the bottle', 'The bottle is in the pantry', 'Lucas exited the pantry', 'Lucas entered the pantry', 'Mia moved the pants to the envelope', 'The envelope is in the pantry']","[['Lucas'], ['Mia', 'Lucas'], ['Mia'], ['Lucas', 'Mia'], ['Lucas', 'Mia'], ['Lucas', 'Mia'], ['Lucas', 'Mia'], ['Mia', 'Lucas'], ['Mia', 'Lucas']]","[{'Lucas entered the pantry': ['Lucas']}, {'Mia entered the pantry': ['Mia', 'Lucas']}, {'Mia dislikes the undershirt': ['Mia']}, {'The pants is in the bottle': ['Lucas', 'Mia']}, {'The bottle is in the pantry': ['Lucas', 'Mia']}, {'Lucas exited the pantry': ['Lucas', 'Mia']}, {'Lucas entered the pantry': ['Lucas', 'Mia']}, {'Mia moved the pants to the envelope': ['Mia', 'Lucas']}, {'The envelope is in the pantry': ['Mia', 'Lucas']}]"
501,507,second_order_0_no_tom,"['Alexander hates the raincoat', 'Alexander entered the laundry', 'Mason entered the laundry', 'The onion is in the box', 'The box is in the laundry', 'Mason moved the onion to the basket', 'The basket is in the laundry', 'Alexander exited the laundry', 'Mason exited the laundry', 'Alexander entered the TV room']","[['Alexander'], ['Alexander'], ['Mason', 'Alexander'], ['Alexander', 'Mason'], ['Alexander', 'Mason'], ['Mason', 'Alexander'], ['Alexander', 'Mason'], ['Alexander', 'Mason'], ['Mason'], ['Alexander']]","[{'Alexander hates the raincoat': ['Alexander']}, {'Alexander entered the laundry': ['Alexander']}, {'Mason entered the laundry': ['Mason', 'Alexander']}, {'The onion is in the box': ['Alexander', 'Mason']}, {'The box is in the laundry': ['Alexander', 'Mason']}, {'Mason moved the onion to the basket': ['Mason', 'Alexander']}, {'The basket is in the laundry': ['Alexander', 'Mason']}, {'Alexander exited the laundry': ['Alexander', 'Mason']}, {'Mason exited the laundry': ['Mason']}, {'Alexander entered the TV room': ['Alexander']}]"
502,508,first_order_0_no_tom,"['Olivia entered the lounge', 'Abigail likes the potato', 'Abigail entered the lounge', 'Avery entered the lounge', 'The shoes is in the bucket', 'The bucket is in the lounge', 'Olivia hates the socks', 'Olivia moved the shoes to the envelope', 'The envelope is in the lounge', 'Abigail exited the lounge']","[['Olivia'], ['Abigail'], ['Abigail', 'Olivia'], ['Avery', 'Olivia', 'Abigail'], ['Olivia', 'Abigail', 'Avery'], ['Olivia', 'Abigail', 'Avery'], ['Olivia'], ['Olivia', 'Abigail', 'Avery'], ['Olivia', 'Abigail', 'Avery'], ['Abigail', 'Olivia', 'Avery']]","[{'Olivia entered the lounge': ['Olivia']}, {'Abigail likes the potato': ['Abigail']}, {'Abigail entered the lounge': ['Abigail', 'Olivia']}, {'Avery entered the lounge': ['Avery', 'Olivia', 'Abigail']}, {'The shoes is in the bucket': ['Olivia', 'Abigail', 'Avery']}, {'The bucket is in the lounge': ['Olivia', 'Abigail', 'Avery']}, {'Olivia hates the socks': ['Olivia']}, {'Olivia moved the shoes to the envelope': ['Olivia', 'Abigail', 'Avery']}, {'The envelope is in the lounge': ['Olivia', 'Abigail', 'Avery']}, {'Abigail exited the lounge': ['Abigail', 'Olivia', 'Avery']}]"
503,509,second_order_1_tom,"['Oliver entered the attic', 'Carter likes the underclothes', 'Charlotte entered the attic', 'Carter entered the lounge', 'Carter exited the lounge', 'The broccoli is in the bathtub', 'The bathtub is in the attic', 'Oliver exited the attic', 'Charlotte moved the broccoli to the treasure chest', 'The treasure chest is in the attic', 'Charlotte loves the jacket']","[['Oliver'], ['Carter'], ['Charlotte', 'Oliver'], ['Carter'], ['Carter'], ['Oliver', 'Charlotte'], ['Oliver', 'Charlotte'], ['Oliver', 'Charlotte'], ['Charlotte'], ['Charlotte'], ['Charlotte']]","[{'Oliver entered the attic': ['Oliver']}, {'Carter likes the underclothes': ['Carter']}, {'Charlotte entered the attic': ['Charlotte', 'Oliver']}, {'Carter entered the lounge': ['Carter']}, {'Carter exited the lounge': ['Carter']}, {'The broccoli is in the bathtub': ['Oliver', 'Charlotte']}, {'The bathtub is in the attic': ['Oliver', 'Charlotte']}, {'Oliver exited the attic': ['Oliver', 'Charlotte']}, {'Charlotte moved the broccoli to the treasure chest': ['Charlotte']}, {'The treasure chest is in the attic': ['Charlotte']}, {'Charlotte loves the jacket': ['Charlotte']}]"
505,511,second_order_0_no_tom,"['William hates the jeans', 'Chloe entered the laundry', 'Alexander entered the hall', 'William entered the laundry', 'The t-shirt is in the suitcase', 'The suitcase is in the laundry', 'Alexander exited the hall', 'Chloe moved the t-shirt to the bottle', 'The bottle is in the laundry', 'Alexander hates the pants', 'William exited the laundry']","[['William'], ['Chloe'], ['Alexander'], ['William', 'Chloe'], ['Chloe', 'William'], ['Chloe', 'William'], ['Alexander'], ['Chloe', 'William'], ['Chloe', 'William'], ['Alexander'], ['William', 'Chloe']]","[{'William hates the jeans': ['William']}, {'Chloe entered the laundry': ['Chloe']}, {'Alexander entered the hall': ['Alexander']}, {'William entered the laundry': ['William', 'Chloe']}, {'The t-shirt is in the suitcase': ['Chloe', 'William']}, {'The suitcase is in the laundry': ['Chloe', 'William']}, {'Alexander exited the hall': ['Alexander']}, {'Chloe moved the t-shirt to the bottle': ['Chloe', 'William']}, {'The bottle is in the laundry': ['Chloe', 'William']}, {'Alexander hates the pants': ['Alexander']}, {'William exited the laundry': ['William', 'Chloe']}]"
509,515,first_order_0_no_tom,"['Charlotte entered the hallway', 'Mila entered the hallway', 'The socks is in the crate', 'The crate is in the hallway', 'Mila moved the socks to the basket', 'The basket is in the hallway', 'Charlotte exited the hallway', 'Charlotte entered the hallway', 'Charlotte likes the underpants']","[['Charlotte'], ['Mila', 'Charlotte'], ['Charlotte', 'Mila'], ['Charlotte', 'Mila'], ['Mila', 'Charlotte'], ['Charlotte', 'Mila'], ['Charlotte', 'Mila'], ['Charlotte', 'Mila'], ['Charlotte']]","[{'Charlotte entered the hallway': ['Charlotte']}, {'Mila entered the hallway': ['Mila', 'Charlotte']}, {'The socks is in the crate': ['Charlotte', 'Mila']}, {'The crate is in the hallway': ['Charlotte', 'Mila']}, {'Mila moved the socks to the basket': ['Mila', 'Charlotte']}, {'The basket is in the hallway': ['Charlotte', 'Mila']}, {'Charlotte exited the hallway': ['Charlotte', 'Mila']}, {'Charlotte entered the hallway': ['Charlotte', 'Mila']}, {'Charlotte likes the underpants': ['Charlotte']}]"
511,517,first_order_0_no_tom,"['Emily entered the garden', 'Emily likes the gloves', 'Oliver is in the garden', 'The celery is in the container', 'The container is in the garden', 'Oliver loves the slippers', 'Oliver moved the celery to the suitcase', 'The suitcase is in the garden', 'Emily exited the garden']","[['Emily'], ['Emily'], [''], [''], ['Oliver', 'Emily'], ['Oliver'], ['Oliver', 'Emily'], ['Emily', 'Oliver'], ['Emily', 'Oliver']]","[{'Emily entered the garden': ['Emily']}, {'Emily likes the gloves': ['Emily']}, {'Oliver is in the garden': []}, {'The celery is in the container': []}, {'The container is in the garden': ['Emily', 'Oliver']}, {'Oliver loves the slippers': ['Oliver']}, {'Oliver moved the celery to the suitcase': ['Oliver', 'Emily']}, {'The suitcase is in the garden': ['Emily', 'Oliver']}, {'Emily exited the garden': ['Emily', 'Oliver']}]"
512,518,second_order_1_tom,"['Jacob entered the porch', 'Mila entered the porch', 'The celery is in the basket', 'The basket is in the porch', 'Mila exited the porch', 'Abigail entered the bedroom', 'Jacob moved the celery to the crate', 'The crate is in the porch']","[['Jacob'], ['Mila', 'Jacob'], ['Jacob', 'Mila'], ['Jacob', 'Mila'], ['Mila', 'Jacob'], ['Abigail'], ['Jacob'], ['Jacob']]","[{'Jacob entered the porch': ['Jacob']}, {'Mila entered the porch': ['Mila', 'Jacob']}, {'The celery is in the basket': ['Jacob', 'Mila']}, {'The basket is in the porch': ['Jacob', 'Mila']}, {'Mila exited the porch': ['Mila', 'Jacob']}, {'Abigail entered the bedroom': ['Abigail']}, {'Jacob moved the celery to the crate': ['Jacob']}, {'The crate is in the porch': ['Jacob']}]"
513,519,second_order_0_tom,"['Mila entered the crawlspace', 'Mila dislikes the spinach', 'Chloe entered the crawlspace', 'Hannah entered the crawlspace', 'Chloe likes the peach', 'The raincoat is in the drawer', 'The drawer is in the crawlspace', 'Mila exited the crawlspace', 'Chloe moved the raincoat to the cupboard', 'The cupboard is in the crawlspace', 'Chloe exited the crawlspace', 'Mila entered the crawlspace']","[['Mila'], ['Mila'], ['Chloe', 'Mila'], ['Hannah', 'Mila', 'Chloe'], ['Chloe'], ['Mila', 'Chloe', 'Hannah'], ['Mila', 'Chloe', 'Hannah'], ['Mila', 'Chloe', 'Hannah'], ['Chloe', 'Hannah'], ['Chloe', 'Hannah'], ['Chloe', 'Hannah'], ['Mila', 'Hannah']]","[{'Mila entered the crawlspace': ['Mila']}, {'Mila dislikes the spinach': ['Mila']}, {'Chloe entered the crawlspace': ['Chloe', 'Mila']}, {'Hannah entered the crawlspace': ['Hannah', 'Mila', 'Chloe']}, {'Chloe likes the peach': ['Chloe']}, {'The raincoat is in the drawer': ['Mila', 'Chloe', 'Hannah']}, {'The drawer is in the crawlspace': ['Mila', 'Chloe', 'Hannah']}, {'Mila exited the crawlspace': ['Mila', 'Chloe', 'Hannah']}, {'Chloe moved the raincoat to the cupboard': ['Chloe', 'Hannah']}, {'The cupboard is in the crawlspace': ['Chloe', 'Hannah']}, {'Chloe exited the crawlspace': ['Chloe', 'Hannah']}, {'Mila entered the crawlspace': ['Mila', 'Hannah']}]"
514,520,second_order_0_no_tom,"['Aiden entered the master bedroom', 'Jackson entered the master bedroom', 'Olivia entered the master bedroom', 'Olivia loves the suit', 'The beans is in the bucket', 'The bucket is in the master bedroom', 'Aiden exited the master bedroom', 'Jackson dislikes the scarf', 'Jackson moved the beans to the cupboard', 'The cupboard is in the master bedroom', 'Olivia exited the master bedroom', 'Olivia entered the hallway']","[['Aiden'], ['Jackson', 'Aiden'], ['Olivia', 'Aiden', 'Jackson'], ['Olivia'], ['Aiden', 'Jackson', 'Olivia'], ['Aiden', 'Jackson', 'Olivia'], ['Aiden', 'Jackson', 'Olivia'], ['Jackson'], ['Jackson', 'Olivia'], ['Jackson', 'Olivia'], ['Olivia', 'Jackson'], ['Olivia']]","[{'Aiden entered the master bedroom': ['Aiden']}, {'Jackson entered the master bedroom': ['Jackson', 'Aiden']}, {'Olivia entered the master bedroom': ['Olivia', 'Aiden', 'Jackson']}, {'Olivia loves the suit': ['Olivia']}, {'The beans is in the bucket': ['Aiden', 'Jackson', 'Olivia']}, {'The bucket is in the master bedroom': ['Aiden', 'Jackson', 'Olivia']}, {'Aiden exited the master bedroom': ['Aiden', 'Jackson', 'Olivia']}, {'Jackson dislikes the scarf': ['Jackson']}, {'Jackson moved the beans to the cupboard': ['Jackson', 'Olivia']}, {'The cupboard is in the master bedroom': ['Jackson', 'Olivia']}, {'Olivia exited the master bedroom': ['Olivia', 'Jackson']}, {'Olivia entered the hallway': ['Olivia']}]"
515,521,second_order_0_no_tom,"['Ethan entered the hall', 'Charlotte entered the hall', 'The beans is in the crate', 'The crate is in the hall', 'Charlotte moved the beans to the treasure chest', 'The treasure chest is in the hall', 'Ethan exited the hall', 'Mia entered the TV room', 'Mia exited the TV room', 'Charlotte exited the hall', 'Ethan entered the hall', 'Ethan hates the lettuce']","[['Ethan'], ['Charlotte', 'Ethan'], ['Ethan', 'Charlotte'], ['Ethan', 'Charlotte'], ['Charlotte', 'Ethan'], ['Ethan', 'Charlotte'], ['Ethan', 'Charlotte'], ['Mia'], ['Mia'], ['Charlotte'], ['Ethan'], ['Ethan']]","[{'Ethan entered the hall': ['Ethan']}, {'Charlotte entered the hall': ['Charlotte', 'Ethan']}, {'The beans is in the crate': ['Ethan', 'Charlotte']}, {'The crate is in the hall': ['Ethan', 'Charlotte']}, {'Charlotte moved the beans to the treasure chest': ['Charlotte', 'Ethan']}, {'The treasure chest is in the hall': ['Ethan', 'Charlotte']}, {'Ethan exited the hall': ['Ethan', 'Charlotte']}, {'Mia entered the TV room': ['Mia']}, {'Mia exited the TV room': ['Mia']}, {'Charlotte exited the hall': ['Charlotte']}, {'Ethan entered the hall': ['Ethan']}, {'Ethan hates the lettuce': ['Ethan']}]"
519,525,second_order_0_tom,"['Benjamin entered the workshop', 'Noah entered the patio', 'Sophia entered the workshop', 'The pineapple is in the basket', 'The basket is in the workshop', 'Noah exited the patio', 'Benjamin exited the workshop', 'Sophia moved the pineapple to the cupboard', 'The cupboard is in the workshop']","[['Benjamin'], ['Noah'], ['Sophia', 'Benjamin'], ['Benjamin', 'Sophia'], ['Benjamin', 'Sophia'], ['Noah'], ['Benjamin', 'Sophia'], ['Sophia'], ['Sophia']]","[{'Benjamin entered the workshop': ['Benjamin']}, {'Noah entered the patio': ['Noah']}, {'Sophia entered the workshop': ['Sophia', 'Benjamin']}, {'The pineapple is in the basket': ['Benjamin', 'Sophia']}, {'The basket is in the workshop': ['Benjamin', 'Sophia']}, {'Noah exited the patio': ['Noah']}, {'Benjamin exited the workshop': ['Benjamin', 'Sophia']}, {'Sophia moved the pineapple to the cupboard': ['Sophia']}, {'The cupboard is in the workshop': ['Sophia']}]"
522,528,second_order_1_no_tom,"['Jackson entered the closet', 'Owen likes the dress', 'Evelyn is in the closet', 'The undershirt is in the treasure chest', 'The treasure chest is in the closet', 'Evelyn moved the undershirt to the pantry', 'The pantry is in the closet', 'Jackson exited the closet', 'Owen entered the closet', 'Owen exited the closet', 'Jackson entered the hall']","[['Jackson'], ['Owen'], [''], [''], ['Evelyn', 'Jackson'], ['Evelyn', 'Jackson'], ['Jackson', 'Evelyn'], ['Jackson', 'Evelyn'], ['Owen', 'Evelyn'], ['Owen', 'Evelyn'], ['Jackson']]","[{'Jackson entered the closet': ['Jackson']}, {'Owen likes the dress': ['Owen']}, {'Evelyn is in the closet': []}, {'The undershirt is in the treasure chest': []}, {'The treasure chest is in the closet': ['Jackson', 'Evelyn']}, {'Evelyn moved the undershirt to the pantry': ['Evelyn', 'Jackson']}, {'The pantry is in the closet': ['Jackson', 'Evelyn']}, {'Jackson exited the closet': ['Jackson', 'Evelyn']}, {'Owen entered the closet': ['Owen', 'Evelyn']}, {'Owen exited the closet': ['Owen', 'Evelyn']}, {'Jackson entered the hall': ['Jackson']}]"
523,529,second_order_0_tom,"['James entered the lounge', 'Ethan entered the lounge', 'Hannah entered the workshop', 'Ethan loves the strawberry', 'Hannah exited the workshop', 'Hannah loves the onion', 'The jeans is in the bathtub', 'The bathtub is in the lounge', 'James exited the lounge', 'Ethan moved the jeans to the suitcase', 'The suitcase is in the lounge', 'Ethan exited the lounge', 'James entered the workshop']","[['James'], ['Ethan', 'James'], ['Hannah'], ['Ethan'], ['Hannah'], ['Hannah'], ['James', 'Ethan'], ['James', 'Ethan'], ['James', 'Ethan'], ['Ethan'], ['Ethan'], ['Ethan'], ['James']]","[{'James entered the lounge': ['James']}, {'Ethan entered the lounge': ['Ethan', 'James']}, {'Hannah entered the workshop': ['Hannah']}, {'Ethan loves the strawberry': ['Ethan']}, {'Hannah exited the workshop': ['Hannah']}, {'Hannah loves the onion': ['Hannah']}, {'The jeans is in the bathtub': ['James', 'Ethan']}, {'The bathtub is in the lounge': ['James', 'Ethan']}, {'James exited the lounge': ['James', 'Ethan']}, {'Ethan moved the jeans to the suitcase': ['Ethan']}, {'The suitcase is in the lounge': ['Ethan']}, {'Ethan exited the lounge': ['Ethan']}, {'James entered the workshop': ['James']}]"
524,530,second_order_1_no_tom,"['Hunter entered the kitchen', 'Carter entered the kitchen', 'The sweater is in the box', 'The box is in the kitchen', 'Ella likes the sweatshirt', 'Carter moved the sweater to the drawer', 'The drawer is in the kitchen', 'Ella likes the jacket', 'Hunter exited the kitchen']","[['Hunter'], ['Carter', 'Hunter'], ['Hunter', 'Carter'], ['Hunter', 'Carter'], ['Ella'], ['Carter', 'Hunter'], ['Hunter', 'Carter'], ['Ella'], ['Hunter', 'Carter']]","[{'Hunter entered the kitchen': ['Hunter']}, {'Carter entered the kitchen': ['Carter', 'Hunter']}, {'The sweater is in the box': ['Hunter', 'Carter']}, {'The box is in the kitchen': ['Hunter', 'Carter']}, {'Ella likes the sweatshirt': ['Ella']}, {'Carter moved the sweater to the drawer': ['Carter', 'Hunter']}, {'The drawer is in the kitchen': ['Hunter', 'Carter']}, {'Ella likes the jacket': ['Ella']}, {'Hunter exited the kitchen': ['Hunter', 'Carter']}]"
525,531,first_order_1_no_tom,"['Logan entered the office', 'Lily loves the slacks', 'Lily entered the office', 'The beans is in the bottle', 'The bottle is in the office', 'Lily moved the beans to the basket', 'The basket is in the office', 'Logan exited the office']","[['Logan'], ['Lily'], ['Lily', 'Logan'], ['Logan', 'Lily'], ['Logan', 'Lily'], ['Lily', 'Logan'], ['Logan', 'Lily'], ['Logan', 'Lily']]","[{'Logan entered the office': ['Logan']}, {'Lily loves the slacks': ['Lily']}, {'Lily entered the office': ['Lily', 'Logan']}, {'The beans is in the bottle': ['Logan', 'Lily']}, {'The bottle is in the office': ['Logan', 'Lily']}, {'Lily moved the beans to the basket': ['Lily', 'Logan']}, {'The basket is in the office': ['Logan', 'Lily']}, {'Logan exited the office': ['Logan', 'Lily']}]"
526,532,first_order_0_tom,"['Mila likes the coat', 'Nathan entered the back yard', 'William entered the back yard', 'Mila entered the back yard', 'The socks is in the container', 'The container is in the back yard', 'Nathan exited the back yard', 'Nathan entered the master bedroom', 'Mila moved the socks to the envelope', 'The envelope is in the back yard']","[['Mila'], ['Nathan'], ['William', 'Nathan'], ['Mila', 'Nathan', 'William'], ['Nathan', 'William', 'Mila'], ['Nathan', 'William', 'Mila'], ['Nathan', 'William', 'Mila'], ['Nathan'], ['Mila', 'William'], ['William', 'Mila']]","[{'Mila likes the coat': ['Mila']}, {'Nathan entered the back yard': ['Nathan']}, {'William entered the back yard': ['William', 'Nathan']}, {'Mila entered the back yard': ['Mila', 'Nathan', 'William']}, {'The socks is in the container': ['Nathan', 'William', 'Mila']}, {'The container is in the back yard': ['Nathan', 'William', 'Mila']}, {'Nathan exited the back yard': ['Nathan', 'William', 'Mila']}, {'Nathan entered the master bedroom': ['Nathan']}, {'Mila moved the socks to the envelope': ['Mila', 'William']}, {'The envelope is in the back yard': ['William', 'Mila']}]"
529,535,first_order_1_no_tom,"['Liam entered the workshop', 'Avery entered the workshop', 'Lily entered the workshop', 'Lily exited the workshop', 'The beans is in the bottle', 'The bottle is in the workshop', 'Avery moved the beans to the pantry', 'The pantry is in the workshop', 'Liam exited the workshop', 'Liam entered the dining room']","[['Liam'], ['Avery', 'Liam'], ['Lily', 'Liam', 'Avery'], ['Lily', 'Liam', 'Avery'], ['Liam', 'Avery'], ['Liam', 'Avery'], ['Avery', 'Liam'], ['Liam', 'Avery'], ['Liam', 'Avery'], ['Liam']]","[{'Liam entered the workshop': ['Liam']}, {'Avery entered the workshop': ['Avery', 'Liam']}, {'Lily entered the workshop': ['Lily', 'Liam', 'Avery']}, {'Lily exited the workshop': ['Lily', 'Liam', 'Avery']}, {'The beans is in the bottle': ['Liam', 'Avery']}, {'The bottle is in the workshop': ['Liam', 'Avery']}, {'Avery moved the beans to the pantry': ['Avery', 'Liam']}, {'The pantry is in the workshop': ['Liam', 'Avery']}, {'Liam exited the workshop': ['Liam', 'Avery']}, {'Liam entered the dining room': ['Liam']}]"
532,538,second_order_1_no_tom,"['Carter entered the playroom', 'Jackson entered the playroom', 'The raincoat is in the container', 'The container is in the playroom', 'Jackson moved the raincoat to the suitcase', 'The suitcase is in the playroom', 'Hunter entered the playroom', 'Carter exited the playroom']","[['Carter'], ['Jackson', 'Carter'], ['Carter', 'Jackson'], ['Carter', 'Jackson'], ['Jackson', 'Carter'], ['Carter', 'Jackson'], ['Hunter', 'Carter', 'Jackson'], ['Carter', 'Jackson', 'Hunter']]","[{'Carter entered the playroom': ['Carter']}, {'Jackson entered the playroom': ['Jackson', 'Carter']}, {'The raincoat is in the container': ['Carter', 'Jackson']}, {'The container is in the playroom': ['Carter', 'Jackson']}, {'Jackson moved the raincoat to the suitcase': ['Jackson', 'Carter']}, {'The suitcase is in the playroom': ['Carter', 'Jackson']}, {'Hunter entered the playroom': ['Hunter', 'Carter', 'Jackson']}, {'Carter exited the playroom': ['Carter', 'Jackson', 'Hunter']}]"
533,539,second_order_0_no_tom,"['Hunter entered the crawlspace', 'Logan entered the closet', 'Emma entered the crawlspace', 'Logan exited the closet', 'The boots is in the treasure chest', 'The treasure chest is in the crawlspace', 'Hunter exited the crawlspace', 'Hunter entered the crawlspace', 'Emma moved the boots to the bottle', 'The bottle is in the crawlspace']","[['Hunter'], ['Logan'], ['Emma', 'Hunter'], ['Logan'], ['Hunter', 'Emma'], ['Hunter', 'Emma'], ['Hunter', 'Emma'], ['Hunter', 'Emma'], ['Emma', 'Hunter'], ['Emma', 'Hunter']]","[{'Hunter entered the crawlspace': ['Hunter']}, {'Logan entered the closet': ['Logan']}, {'Emma entered the crawlspace': ['Emma', 'Hunter']}, {'Logan exited the closet': ['Logan']}, {'The boots is in the treasure chest': ['Hunter', 'Emma']}, {'The treasure chest is in the crawlspace': ['Hunter', 'Emma']}, {'Hunter exited the crawlspace': ['Hunter', 'Emma']}, {'Hunter entered the crawlspace': ['Hunter', 'Emma']}, {'Emma moved the boots to the bottle': ['Emma', 'Hunter']}, {'The bottle is in the crawlspace': ['Emma', 'Hunter']}]"
535,541,second_order_1_no_tom,"['Owen entered the living room', 'Chloe entered the living room', 'The lime is in the treasure chest', 'The treasure chest is in the living room', 'Owen moved the lime to the crate', 'The crate is in the living room', 'Chloe exited the living room']","[['Owen'], ['Chloe', 'Owen'], ['Owen', 'Chloe'], ['Owen', 'Chloe'], ['Owen', 'Chloe'], ['Owen', 'Chloe'], ['Chloe', 'Owen']]","[{'Owen entered the living room': ['Owen']}, {'Chloe entered the living room': ['Chloe', 'Owen']}, {'The lime is in the treasure chest': ['Owen', 'Chloe']}, {'The treasure chest is in the living room': ['Owen', 'Chloe']}, {'Owen moved the lime to the crate': ['Owen', 'Chloe']}, {'The crate is in the living room': ['Owen', 'Chloe']}, {'Chloe exited the living room': ['Chloe', 'Owen']}]"
537,543,first_order_1_no_tom,"['William entered the bathroom', 'Noah entered the bathroom', 'The boots is in the pantry', 'The pantry is in the bathroom', 'Noah moved the boots to the container', 'The container is in the bathroom', 'William exited the bathroom', 'Noah exited the bathroom', 'William entered the bathroom']","[['William'], ['Noah', 'William'], ['William', 'Noah'], ['William', 'Noah'], ['Noah', 'William'], ['William'], ['William'], ['Noah'], ['William']]","[{'William entered the bathroom': ['William']}, {'Noah entered the bathroom': ['Noah', 'William']}, {'The boots is in the pantry': ['William', 'Noah']}, {'The pantry is in the bathroom': ['William', 'Noah']}, {'Noah moved the boots to the container': ['Noah', 'William']}, {'The container is in the bathroom': ['William']}, {'William exited the bathroom': ['William']}, {'Noah exited the bathroom': ['Noah']}, {'William entered the bathroom': ['William']}]"
541,547,second_order_0_tom,"['Oliver entered the kitchen', 'Carter entered the kitchen', 'The slippers is in the envelope', 'The envelope is in the kitchen', 'Oliver likes the pineapple', 'Carter exited the kitchen', 'Carter entered the office', 'Oliver moved the slippers to the container', 'The container is in the kitchen']","[['Oliver'], ['Carter', 'Oliver'], ['Oliver', 'Carter'], ['Oliver', 'Carter'], ['Oliver'], ['Carter', 'Oliver'], ['Carter'], ['Oliver'], ['Oliver']]","[{'Oliver entered the kitchen': ['Oliver']}, {'Carter entered the kitchen': ['Carter', 'Oliver']}, {'The slippers is in the envelope': ['Oliver', 'Carter']}, {'The envelope is in the kitchen': ['Oliver', 'Carter']}, {'Oliver likes the pineapple': ['Oliver']}, {'Carter exited the kitchen': ['Carter', 'Oliver']}, {'Carter entered the office': ['Carter']}, {'Oliver moved the slippers to the container': ['Oliver']}, {'The container is in the kitchen': ['Oliver']}]"
543,549,first_order_0_no_tom,"['Ava entered the closet', 'Mason entered the closet', 'Aria entered the office', 'The green pepper is in the bucket', 'The bucket is in the closet', 'Ava moved the green pepper to the basket', 'The basket is in the closet', 'Mason exited the closet', 'Mason likes the peach', 'Ava exited the closet', 'Mason entered the closet']","[['Ava'], ['Mason', 'Ava'], ['Aria'], ['Ava', 'Mason'], ['Ava', 'Mason'], ['Ava', 'Mason'], ['Ava', 'Mason'], ['Mason', 'Ava'], ['Mason'], ['Ava'], ['Mason']]","[{'Ava entered the closet': ['Ava']}, {'Mason entered the closet': ['Mason', 'Ava']}, {'Aria entered the office': ['Aria']}, {'The green pepper is in the bucket': ['Ava', 'Mason']}, {'The bucket is in the closet': ['Ava', 'Mason']}, {'Ava moved the green pepper to the basket': ['Ava', 'Mason']}, {'The basket is in the closet': ['Ava', 'Mason']}, {'Mason exited the closet': ['Mason', 'Ava']}, {'Mason likes the peach': ['Mason']}, {'Ava exited the closet': ['Ava']}, {'Mason entered the closet': ['Mason']}]"
546,553,first_order_1_no_tom,"['Aria entered the workshop', 'Mia entered the workshop', 'Lily hates the peas', 'The lime is in the suitcase', 'The suitcase is in the workshop', 'Aria moved the lime to the cupboard', 'The cupboard is in the workshop', 'Mia loves the apple', 'Mia exited the workshop']","[['Aria'], ['Mia', 'Aria'], ['Lily'], ['Aria', 'Mia'], ['Aria', 'Mia'], ['Aria', 'Mia'], ['Aria', 'Mia'], ['Mia'], ['Mia', 'Aria']]","[{'Aria entered the workshop': ['Aria']}, {'Mia entered the workshop': ['Mia', 'Aria']}, {'Lily hates the peas': ['Lily']}, {'The lime is in the suitcase': ['Aria', 'Mia']}, {'The suitcase is in the workshop': ['Aria', 'Mia']}, {'Aria moved the lime to the cupboard': ['Aria', 'Mia']}, {'The cupboard is in the workshop': ['Aria', 'Mia']}, {'Mia loves the apple': ['Mia']}, {'Mia exited the workshop': ['Mia', 'Aria']}]"
548,555,second_order_1_no_tom,"['Emma entered the hallway', 'Ella likes the watermelon', 'Ella entered the hallway', 'The coat is in the bathtub', 'The bathtub is in the hallway', 'Emma likes the raincoat', 'Ella moved the coat to the crate', 'The crate is in the hallway', 'Emma exited the hallway']","[['Emma'], ['Ella'], ['Ella', 'Emma'], ['Emma', 'Ella'], ['Emma', 'Ella'], ['Emma'], ['Ella', 'Emma'], ['Emma', 'Ella'], ['Emma', 'Ella']]","[{'Emma entered the hallway': ['Emma']}, {'Ella likes the watermelon': ['Ella']}, {'Ella entered the hallway': ['Ella', 'Emma']}, {'The coat is in the bathtub': ['Emma', 'Ella']}, {'The bathtub is in the hallway': ['Emma', 'Ella']}, {'Emma likes the raincoat': ['Emma']}, {'Ella moved the coat to the crate': ['Ella', 'Emma']}, {'The crate is in the hallway': ['Emma', 'Ella']}, {'Emma exited the hallway': ['Emma', 'Ella']}]"
